Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,SMS,Other Rules,Help other comics! Leave reviews,unique identifier,,,,
Grisly Pear,Sunday,2:00 PM,3:30 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,in person only,Grisly Pear,@grislypear,Unverified,#N/A,show up first go up first depending on the host,,Sunday-2:00 PM-@grislypear,,,,
Comedy Shop,Sunday,2:30 PM,4:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5 min,https://comedyshopnyc.com/events/,,@thecomedyshopvillage,Verified tediously 5/13 Malev,#N/A,show up first go up first depending on the host,,Sunday-2:30 PM-@thecomedyshopvillage,,,,
Greenwich village comedy club,Sunday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,Email DrewAndPetermic@gmail.com,Drew Tessier,@comedybydrew insta,Verified 5/13 Malev,3475151553,show up first go up first depending on the host,,Sunday-3:00 PM-@comedybydrew insta,,,,
All American,Sunday,3:00 PM,4:00 PM,Pinebox,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206, USA",Bar,Drink,5,sign up in person list / @allamericancomedy,,@allamericancomedy,Unverified,#N/A,,,,,,,
Laughing Buddha St. Marks,Sunday,3:30 PM,5:30 PM,St. Marks Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003, USA",Comedy Club,$6+ booking fee,5,https://www.laughingbuddhacomedy.com/mics,Danny Metz,@dannnymetz0,Verified tediously 5/13 Malev,#N/A,,,Sunday-3:30 PM-@dannnymetz0,,,,
Crayon Box,Sunday,4:00 PM,6:00 PM,Sleepwalk,Brooklyn,Williamsburg,"251 Bushwick Ave, Brooklyn, NY 11206",Bar,1 item minimum,3 minutes,In person or @crayonboxcomedy insta,Maxwell Silverstein,@crayonboxcomedy,Verified 5/13 Malev,5163536008,,,Sunday-4:00 PM-@crayonboxcomedy,,,,
Fear City Comedy Club,Sunday,4:00 PM,5:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,Free (buy smth at bar pls),,,Jonesy,@thefearcitycomedyclub,Verified 5/13 Malev,9707691563,,,Sunday-4:00 PM-@thefearcitycomedyclub,,,,
How Ya Doin' Open Mic,Sunday,4:00 PM,5:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free + 1 item minimum,5,signup there 30 mins prior,Hunter Wright,@xhunterwrightx,Verified 5/13 Malev,5599057234,,,Sunday-4:00 PM-@xhunterwrightx,,,,
C Sweet Comedy,Sunday,4:00 PM,8:30 PM,House Watch,Manhattan,East Village,50 Avenue B,Bar,free,5,Comment on IG @csweetcomedy. Sign up in person,C Sweet Comedy,@csweetcomedy,Verified 5/13 Malev,9176200134,,,Sunday-4:00 PM-@csweetcomedy,,,,
Comedy Shop,Sunday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5,https://comedyshopnyc.com/events/,Comedy Shop,@thecomedyshopvillage,Verified tediously 5/13 Malev,#N/A,show up first go up first depending on the host,,Sunday-4:00 PM-@thecomedyshopvillage,,,,
